-6.4975000000000005,1.36631e-06,0.0
-6.495000000000001,1.524595e-06,0.0
-6.485000000000001,1.304984e-06,0.0
-6.4750000000000005,1.262263e-06,0.0
-6.465000000000001,1.24912e-06,0.0
-6.455000000000001,1.290434e-06,0.0
-6.442500000000001,1.434173e-06,0.0
-6.4350000000000005,1.539795e-06,0.0
-6.425000000000001,1.551392e-06,0.0
-6.415000000000001,1.548381e-06,0.0
-6.405000000000001,1.582065e-06,0.0
-6.395000000000001,1.676899e-06,0.0
-6.382500000000001,1.878679e-06,0.0
-6.375000000000001,2.186885e-06,0.0
-6.365000000000001,2.441953e-06,0.0
-6.355000000000001,2.370549e-06,0.0
-6.345000000000001,2.220791e-06,0.0
-6.335000000000001,2.159301e-06,0.0
-6.322500000000001,2.135763e-06,0.0
-6.315000000000001,2.116946e-06,0.0
-6.305000000000001,2.125759e-06,0.0
-6.295000000000001,2.089342e-06,0.0
-6.282500000000001,2.022365e-06,0.0
-6.275000000000001,1.870069e-06,0.0
-6.265000000000001,1.789323e-06,0.0
-6.255000000000001,1.718404e-06,0.0
-6.245000000000001,1.606357e-06,0.0
-6.235000000000001,1.639996e-06,0.0
-6.2250000000000005,1.605985e-06,0.0
-6.215000000000001,1.463212e-06,0.0
-6.205000000000001,1.436833e-06,0.0
