Voltage[V]	Current[mA]
49.362000	-2.719013E-10
49.368000	-3.052962E-10
49.374000	-2.589942E-10
49.380000	-2.731306E-10
49.386000	-2.999694E-10
49.392000	-2.805062E-10
49.398000	-3.106229E-10
49.404000	-1.917946E-10
49.410000	-2.979205E-10
49.416000	-3.995392E-10
49.422000	-3.276276E-10
49.428000	-2.854231E-10
49.434000	-2.843988E-10
49.440000	-2.739501E-10
49.446000	-2.887012E-10
49.452000	-2.983303E-10
49.458000	-2.714915E-10
49.464000	-2.971010E-10
49.470000	-2.911597E-10
49.476000	-3.671688E-10
49.482000	-3.014034E-10
49.488000	-3.079596E-10
49.494000	-2.719012E-10
49.500000	-3.227107E-10
49.506000	-3.358228E-10
49.512000	-3.241448E-10
49.518000	-2.503893E-10
49.524000	-3.522128E-10
49.530000	-3.233253E-10
49.536000	-3.319301E-10
49.542000	-2.942329E-10
49.548000	-3.083693E-10
49.554000	-3.479103E-10
49.560000	-1.459023E-10
49.566000	-3.329544E-10
49.572000	-3.059108E-10
49.578000	-2.915694E-10
49.584000	-2.915694E-10
49.590000	-3.001742E-10
49.596000	-3.294716E-10
49.602000	-2.710817E-10
49.608000	-2.719012E-10
49.614000	-4.591581E-10
49.620000	-3.231204E-10
49.626000	-2.971011E-10
49.632000	-2.645257E-10
49.638000	-2.930035E-10
49.644000	-3.333642E-10
49.650000	-2.663696E-10
49.656000	-2.409649E-10
49.662000	-3.155399E-10
49.668000	-2.536673E-10
49.674000	-3.309056E-10
49.680000	-2.747696E-10
49.686000	-3.913442E-10
49.692000	-3.057058E-10
49.698000	-3.446324E-10
49.704000	-2.956669E-10
49.710000	-2.751793E-10
49.716000	-2.893157E-10
49.722000	-3.042718E-10
49.728000	-3.544664E-10
49.734000	-3.124668E-10
49.740000	-3.253740E-10
49.746000	-3.194326E-10
49.752000	-3.974904E-10
49.758000	-3.022230E-10
49.764000	-3.438129E-10
49.770000	-2.374821E-10
49.776000	-2.835791E-10
49.782000	-3.347984E-10
49.788000	-3.151302E-10
49.794000	-3.151302E-10
49.800000	-1.598339E-10
49.806000	-2.917743E-10
49.812000	-3.384860E-10
49.818000	-2.649355E-10
49.824000	-2.938230E-10
49.830000	-2.983303E-10
49.836000	-2.989449E-10
49.842000	-3.067303E-10
49.848000	-2.852182E-10
49.854000	-4.050709E-10
49.860000	-3.194325E-10
49.866000	-2.639112E-10
49.872000	-3.647102E-10
49.878000	-2.561258E-10
49.884000	-2.620673E-10
49.890000	-3.083693E-10
49.896000	-3.808954E-10
49.902000	-3.380763E-10
49.908000	-1.612680E-10
