Voltage[V]	Current[mA]
48.000000	-1.211813E-11
48.006000	-7.890780E-11
48.012000	-1.881068E-10
48.018000	-1.967116E-10
48.024000	-2.512088E-10
48.030000	-1.680290E-10
48.036000	-1.332000E-10
48.042000	-1.651607E-10
48.048000	-1.948678E-10
48.054000	-2.274433E-10
48.060000	-2.622720E-10
48.066000	-2.641160E-10
48.072000	-1.907703E-10
48.078000	-2.055214E-10
48.084000	-1.965067E-10
48.090000	-2.055212E-10
48.096000	-2.557161E-10
48.102000	-3.038622E-10
48.108000	-2.887013E-10
48.114000	-2.653451E-10
48.120000	-2.186335E-10
48.126000	-2.274431E-10
48.132000	-2.165846E-10
48.138000	-2.540770E-10
48.144000	-2.686233E-10
48.150000	-3.333640E-10
48.156000	-2.764086E-10
48.162000	-3.493445E-10
48.168000	-3.102132E-10
48.174000	-2.458820E-10
48.180000	-2.921839E-10
48.186000	-2.792768E-10
48.192000	-2.581745E-10
48.198000	-2.747695E-10
48.204000	-2.507990E-10
48.210000	-1.928190E-10
48.216000	-2.698525E-10
48.222000	-2.962816E-10
48.228000	-2.827597E-10
48.234000	-2.960766E-10
48.240000	-2.800964E-10
48.246000	-2.309262E-10
48.252000	-2.364578E-10
48.258000	-2.376868E-10
48.264000	1.729399E-9
48.270000	5.426412E-11
48.276000	-1.864678E-10
48.282000	-3.309055E-10
48.288000	-3.106229E-10
48.294000	-3.509836E-10
48.300000	-3.370519E-10
48.306000	-2.673940E-10
48.312000	-2.696478E-10
48.318000	-3.206618E-10
48.324000	-2.610428E-10
48.330000	-2.932085E-10
48.336000	-2.565357E-10
48.342000	-2.903401E-10
48.348000	-3.102133E-10
48.354000	-2.383016E-10
48.360000	-3.100083E-10
48.366000	-2.942329E-10
48.372000	-2.620672E-10
48.378000	-2.848084E-10
48.384000	-2.805059E-10
48.390000	-2.794817E-10
48.396000	-2.792768E-10
48.402000	-2.546917E-10
48.408000	-3.067300E-10
48.414000	-3.149251E-10
48.420000	-2.536673E-10
48.426000	-2.829647E-10
48.432000	-2.499796E-10
48.438000	-3.073449E-10
48.444000	-2.344089E-10
48.450000	-2.215017E-10
48.456000	-2.518235E-10
48.462000	-2.876767E-10
48.468000	-2.559209E-10
48.474000	-2.907498E-10
48.480000	-2.700573E-10
48.486000	-2.759986E-10
48.492000	-2.483406E-10
48.498000	-2.249845E-10
48.504000	-3.163595E-10
48.510000	-3.009936E-10
48.516000	-3.132865E-10
48.522000	-2.782524E-10
48.528000	-2.915694E-10
48.534000	-2.651405E-10
48.540000	-2.747694E-10
48.546000	-2.882911E-10
48.552000	-2.616573E-10
48.558000	-2.692378E-10
48.564000	-2.225260E-10
48.570000	-2.837842E-10
48.576000	-3.602029E-10
48.582000	-2.661647E-10
48.588000	-2.708768E-10
48.594000	-2.495697E-10
48.600000	-1.950726E-10
48.606000	-2.979206E-10
48.612000	-3.747492E-10
48.618000	-2.606331E-10
48.624000	-2.639111E-10
48.630000	-2.692379E-10
48.636000	-3.083695E-10
48.642000	-3.321349E-10
48.648000	-2.555112E-10
48.654000	-2.821451E-10
48.660000	-1.450828E-10
48.666000	-2.454723E-10
48.672000	-3.573346E-10
48.678000	-2.225260E-10
48.684000	-2.391211E-10
48.690000	-2.817353E-10
48.696000	-2.880864E-10
48.702000	-3.018133E-10
48.708000	-3.536468E-10
48.714000	-2.807109E-10
48.720000	-3.196375E-10
48.726000	-3.022230E-10
48.732000	-2.778427E-10
48.738000	-2.530526E-10
48.744000	-3.143107E-10
48.750000	-2.559208E-10
48.756000	-2.952572E-10
48.762000	-2.352284E-10
48.768000	-1.340196E-10
48.774000	-2.848084E-10
48.780000	-2.462917E-10
48.786000	-2.686234E-10
48.792000	-2.395307E-10
48.798000	-2.628867E-10
48.804000	-2.803011E-10
48.810000	-2.690330E-10
48.816000	-2.788670E-10
48.822000	-4.091682E-10
48.828000	-2.827597E-10
48.834000	-2.614525E-10
48.840000	-3.268082E-10
48.846000	-3.104181E-10
48.852000	-2.813256E-10
48.858000	-2.864474E-10
48.864000	-2.702622E-10
48.870000	-2.561257E-10
48.876000	-2.768181E-10
48.882000	-2.721061E-10
48.888000	-2.598136E-10
48.894000	-3.022229E-10
48.900000	-2.893157E-10
48.906000	-2.512087E-10
48.912000	-2.423991E-10
48.918000	-2.555112E-10
48.924000	-2.878816E-10
48.930000	-3.739296E-10
48.936000	-3.845831E-10
48.942000	-3.057058E-10
48.948000	-2.661648E-10
48.954000	-2.919791E-10
48.960000	-2.764086E-10
48.966000	-2.823500E-10
48.972000	-3.083692E-10
48.978000	-3.032474E-10
48.984000	-3.014034E-10
48.990000	-3.223007E-10
48.996000	-1.772484E-10
49.002000	-2.866523E-10
49.008000	-2.848085E-10
49.014000	-3.220959E-10
49.020000	-3.835588E-10
49.026000	-2.583794E-10
49.032000	-2.432187E-10
49.038000	-2.952571E-10
49.044000	-2.649354E-10
49.050000	-3.186130E-10
49.056000	-2.966912E-10
49.062000	-3.677834E-10
49.068000	-3.569252E-10
49.074000	-2.729257E-10
49.080000	-2.805061E-10
49.086000	-2.796865E-10
49.092000	-2.786622E-10
49.098000	-2.520282E-10
49.104000	-2.866525E-10
49.110000	-2.930036E-10
49.116000	-2.174042E-10
49.122000	-1.436488E-10
49.128000	-2.565355E-10
49.134000	-2.712866E-10
49.140000	-4.073244E-10
49.146000	-3.247595E-10
49.152000	-2.473161E-10
49.158000	-2.278528E-10
49.164000	-2.958716E-10
49.170000	-2.915693E-10
49.176000	-2.833743E-10
49.182000	-2.583796E-10
49.188000	-3.231204E-10
49.194000	-3.229155E-10
49.200000	-2.911594E-10
49.206000	-3.005838E-10
49.212000	-2.864475E-10
49.218000	-2.725159E-10
49.224000	-3.098034E-10
49.230000	-2.675988E-10
49.236000	-2.477257E-10
49.242000	-2.454722E-10
49.248000	-1.852385E-10
49.254000	-2.925935E-10
49.260000	-1.534828E-10
49.266000	-1.526632E-10
49.272000	-3.315201E-10
49.278000	-3.237349E-10
49.284000	-2.473162E-10
49.290000	-2.692380E-10
49.296000	-2.557159E-10
49.302000	-2.667792E-10
49.308000	-3.347983E-10
49.314000	-2.772280E-10
49.320000	-3.030423E-10
49.326000	-3.599978E-10
49.332000	-3.862221E-10
49.338000	-2.721062E-10
49.344000	-2.930036E-10
49.350000	-2.856279E-10
49.356000	-2.942328E-10
49.362000	-2.993547E-10
49.368000	-2.979207E-10
49.374000	-2.411698E-10
49.380000	-2.899302E-10
49.386000	-1.506145E-10
49.392000	-3.011984E-10
49.398000	-2.639110E-10
49.404000	-3.233252E-10
49.410000	-2.528477E-10
49.416000	-2.921839E-10
49.422000	-2.905449E-10
49.428000	-2.493649E-10
49.434000	-3.061156E-10
49.440000	-3.841734E-10
49.446000	-3.315200E-10
49.452000	-3.161543E-10
49.458000	-2.700574E-10
49.464000	-2.653452E-10
49.470000	-3.069350E-10
49.476000	-2.323603E-10
49.482000	-2.436283E-10
49.488000	-1.567607E-10
49.494000	-3.356178E-10
49.500000	-2.735403E-10
49.506000	-3.282421E-10
49.512000	-2.282626E-10
49.518000	-2.841938E-10
49.524000	-2.669841E-10
49.530000	-2.536675E-10
49.536000	-2.669843E-10
49.542000	-3.366422E-10
49.548000	-2.575600E-10
49.554000	-2.766136E-10
49.560000	-2.733354E-10
49.566000	-3.110327E-10
49.572000	-2.966913E-10
49.578000	-3.192277E-10
49.584000	-2.606332E-10
49.590000	-2.612477E-10
49.596000	-2.100287E-10
49.602000	-2.610430E-10
49.608000	-2.975110E-10
49.614000	-2.598137E-10
49.620000	-2.968962E-10
49.626000	-2.887012E-10
49.632000	-3.018133E-10
49.638000	-2.784572E-10
49.644000	-2.553063E-10
49.650000	-2.759988E-10
49.656000	-2.786622E-10
49.662000	-2.999693E-10
49.668000	-2.829645E-10
49.674000	-2.481355E-10
49.680000	-2.899306E-10
49.686000	-1.907703E-10
49.692000	-2.516186E-10
49.698000	-2.710818E-10
49.704000	-2.241651E-10
49.710000	-2.073654E-10
49.716000	-2.653454E-10
49.722000	-2.831694E-10
49.728000	-2.882916E-10
49.734000	-2.952571E-10
49.740000	-2.589942E-10
49.746000	-3.188180E-10
49.752000	-3.251692E-10
49.758000	-2.954620E-10
49.764000	-3.128765E-10
49.770000	-2.825550E-10
49.776000	-2.358430E-10
49.782000	-2.833743E-10
49.788000	-2.954620E-10
49.794000	-2.706719E-10
49.800000	-2.518234E-10
49.806000	-2.352284E-10
49.812000	-2.626820E-10
49.818000	-3.493446E-10
49.824000	-2.913645E-10
49.830000	-3.057060E-10
49.836000	-2.737451E-10
49.842000	-2.725159E-10
49.848000	-2.864474E-10
49.854000	-2.635013E-10
49.860000	-3.149254E-10
49.866000	-2.764086E-10
49.872000	-2.532575E-10
49.878000	-1.418049E-10
49.884000	-2.823502E-10
49.890000	-2.520283E-10
49.896000	-2.979206E-10
49.902000	-2.436283E-10
49.908000	-2.657551E-10
49.914000	-2.548966E-10
49.920000	-2.577650E-10
49.926000	-2.596088E-10
49.932000	-3.712662E-10
49.938000	-2.981256E-10
49.944000	-3.048864E-10
49.950000	-2.866524E-10
49.956000	-2.772282E-10
49.962000	-2.784572E-10
49.968000	-3.022231E-10
49.974000	-2.241652E-10
49.980000	-1.456974E-10
49.986000	-2.663696E-10
49.992000	-3.005840E-10
49.998000	-3.253741E-10
50.004000	-2.266237E-10
50.010000	-2.446528E-10
50.016000	-2.299016E-10
50.022000	-2.536673E-10
50.028000	-2.876768E-10
50.034000	-2.803012E-10
50.040000	-3.296764E-10
50.046000	-2.411699E-10
50.052000	-3.243497E-10
50.058000	-3.300862E-10
50.064000	-2.635014E-10
50.070000	-2.530526E-10
50.076000	-2.628868E-10
50.082000	-2.423992E-10
50.088000	-2.198626E-10
50.094000	-2.735401E-10
50.100000	-2.505942E-10
50.106000	-2.372770E-10
50.112000	-2.702622E-10
50.118000	-2.880865E-10
50.124000	-4.116267E-10
50.130000	-2.692379E-10
50.136000	-3.069354E-10
50.142000	-2.813256E-10
50.148000	-2.641161E-10
50.154000	-2.202725E-10
50.160000	-2.610428E-10
50.166000	-2.616576E-10
50.172000	-2.626818E-10
50.178000	-2.985353E-10
50.184000	-2.700574E-10
50.190000	-2.870621E-10
50.196000	-2.835795E-10
50.202000	-2.553063E-10
50.208000	-2.524381E-10
50.214000	-3.122619E-10
50.220000	-2.641159E-10
50.226000	-2.450626E-10
50.232000	-2.448575E-10
50.238000	-2.448576E-10
50.244000	-3.274227E-10
50.250000	-2.626819E-10
50.256000	-2.575601E-10
50.262000	-2.516187E-10
50.268000	-2.796867E-10
50.274000	-2.641159E-10
50.280000	-3.350032E-10
50.286000	-2.821453E-10
50.292000	-2.893158E-10
50.298000	-2.815304E-10
50.304000	-2.739500E-10
50.310000	-2.573552E-10
50.316000	-2.835793E-10
50.322000	-2.868572E-10
50.328000	-2.788670E-10
50.334000	-2.669840E-10
50.340000	-2.925938E-10
50.346000	-3.403301E-10
50.352000	-2.290822E-10
50.358000	-3.192278E-10
50.364000	-2.766136E-10
50.370000	-2.477259E-10
50.376000	-2.940279E-10
50.382000	-2.987400E-10
50.388000	-2.704669E-10
50.394000	-2.700574E-10
50.400000	-2.893159E-10
50.406000	-2.727210E-10
50.412000	-2.807109E-10
50.418000	-2.850134E-10
50.424000	-2.366626E-10
50.430000	-2.274433E-10
50.436000	-2.639112E-10
50.442000	-3.065252E-10
50.448000	-3.014034E-10
50.454000	-2.663696E-10
50.460000	-2.739501E-10
50.466000	-2.784574E-10
50.472000	-2.667794E-10
50.478000	-2.725160E-10
50.484000	-2.966915E-10
50.490000	-2.911598E-10
50.496000	-2.880866E-10
50.502000	-2.481356E-10
50.508000	-2.688282E-10
50.514000	-2.809159E-10
50.520000	-2.923890E-10
50.526000	-3.401254E-10
50.532000	-2.628868E-10
50.538000	-3.085743E-10
50.544000	-2.749744E-10
50.550000	-2.790720E-10
50.556000	-2.475210E-10
50.562000	-2.860377E-10
50.568000	-2.149457E-10
50.574000	-2.966913E-10
50.580000	-2.966913E-10
50.586000	-2.632964E-10
50.592000	-2.315408E-10
50.598000	-2.930037E-10
50.604000	-3.048863E-10
50.610000	-2.647307E-10
50.616000	-2.493649E-10
50.622000	-3.960564E-10
50.628000	-2.719012E-10
50.634000	-2.751793E-10
50.640000	-2.411700E-10
50.646000	-3.007888E-10
50.652000	-3.350032E-10
50.658000	-2.448575E-10
50.664000	-2.393259E-10
50.670000	-2.397357E-10
50.676000	-2.942328E-10
50.682000	-2.510040E-10
50.688000	-3.210718E-10
50.694000	-3.079596E-10
50.700000	-2.999693E-10
50.706000	-2.770234E-10
50.712000	-2.727208E-10
50.718000	-2.903403E-10
50.724000	-2.934133E-10
50.730000	-2.299017E-10
50.736000	-2.706722E-10
50.742000	-2.405553E-10
50.748000	-2.315407E-10
50.754000	-3.204570E-10
50.760000	-3.009938E-10
50.766000	-2.143312E-10
50.772000	-3.257836E-10
50.778000	-3.458616E-10
50.784000	-2.891108E-10
50.790000	-2.577648E-10
50.796000	-2.587893E-10
50.802000	-2.522332E-10
50.808000	-3.009936E-10
50.814000	-2.923889E-10
50.820000	-3.194325E-10
50.826000	-3.098034E-10
50.832000	-1.770436E-10
50.838000	-2.848086E-10
50.844000	-2.780478E-10
50.850000	-2.880865E-10
50.856000	-2.430138E-10
50.862000	-3.165644E-10
50.868000	-2.071605E-10
