Voltage[V]	Current[mA]
48.000000	0.004395
48.006000	0.004557
48.012000	0.004637
48.018000	0.004682
48.024000	0.004703
48.030000	0.004726
48.036000	0.004722
48.042000	0.004750
48.048000	0.004758
48.054000	0.004776
48.060000	0.004757
48.066000	0.004728
48.072000	0.004793
48.078000	0.004793
48.084000	0.004713
48.090000	0.004695
48.096000	0.004213
48.102000	0.003483
48.108000	0.004906
48.114000	0.004838
48.120000	0.004844
48.126000	0.004908
48.132000	0.004937
48.138000	0.004561
48.144000	0.004269
48.150000	0.003610
48.156000	0.002274
48.162000	0.002310
48.168000	0.002365
48.174000	0.002421
48.180000	0.002435
48.186000	0.002400
48.192000	0.002422
48.198000	0.003889
48.204000	0.003780
48.210000	0.003625
48.216000	0.003759
48.222000	0.004098
48.228000	0.003877
48.234000	0.003671
48.240000	0.002574
48.246000	0.002603
48.252000	0.002751
48.258000	0.002748
48.264000	0.002784
48.270000	0.002755
48.276000	0.002768
48.282000	0.002748
48.288000	0.002795
48.294000	0.002741
48.300000	0.002638
48.306000	0.002672
48.312000	0.002707
48.318000	0.002696
48.324000	0.002657
48.330000	0.002654
48.336000	0.002692
48.342000	0.002663
48.348000	0.002640
48.354000	0.002596
48.360000	0.002628
48.366000	0.002560
48.372000	0.002553
48.378000	0.002512
48.384000	0.002647
48.390000	0.002658
48.396000	0.002611
48.402000	0.002548
48.408000	0.002630
48.414000	0.002535
48.420000	0.002402
48.426000	0.002544
48.432000	0.002450
48.438000	0.002307
48.444000	0.002544
48.450000	0.002425
48.456000	0.002467
48.462000	0.002381
48.468000	0.002439
48.474000	0.002543
48.480000	0.002570
48.486000	0.002501
48.492000	0.002452
48.498000	0.002426
48.504000	0.002350
48.510000	0.002355
48.516000	0.002403
48.522000	0.002383
48.528000	0.002365
48.534000	0.002336
48.540000	0.002374
48.546000	0.002355
48.552000	0.002411
48.558000	0.002459
48.564000	0.002487
48.570000	0.002426
48.576000	0.002671
48.582000	0.002435
48.588000	0.002474
48.594000	0.002452
48.600000	0.002432
48.606000	0.002496
48.612000	0.002533
48.618000	0.002389
48.624000	0.002469
48.630000	0.002365
48.636000	0.002423
48.642000	0.002404
48.648000	0.002519
48.654000	0.002601
48.660000	0.002456
48.666000	0.002476
48.672000	0.002518
48.678000	0.002588
48.684000	0.002469
48.690000	0.002263
48.696000	0.002223
48.702000	5.638297E-6
48.708000	5.443714E-6
48.714000	5.418626E-6
48.720000	5.401204E-6
48.726000	5.439908E-6
48.732000	5.403248E-6
48.738000	5.645448E-6
48.744000	5.443049E-6
48.750000	5.447456E-6
48.756000	5.460252E-6
48.762000	5.553814E-6
48.768000	5.532546E-6
48.774000	5.466990E-6
48.780000	5.466593E-6
48.786000	5.465009E-6
48.792000	5.477439E-6
48.798000	5.470845E-6
48.804000	5.489599E-6
48.810000	5.499333E-6
48.816000	5.505148E-6
48.822000	5.518041E-6
48.828000	5.600427E-6
48.834000	5.538933E-6
48.840000	5.524914E-6
48.846000	5.526070E-6
48.852000	5.540324E-6
48.858000	5.561515E-6
48.864000	5.560878E-6
48.870000	5.575560E-6
48.876000	5.599458E-6
48.882000	5.579184E-6
48.888000	5.606347E-6
48.894000	5.603277E-6
48.900000	5.616473E-6
48.906000	5.629336E-6
48.912000	5.651728E-6
48.918000	5.803733E-6
48.924000	5.746715E-6
48.930000	5.854732E-6
48.936000	5.721288E-6
48.942000	5.709580E-6
48.948000	5.728528E-6
48.954000	5.727665E-6
48.960000	5.748914E-6
48.966000	5.822092E-6
48.972000	5.921018E-6
48.978000	6.096242E-6
48.984000	5.878840E-6
48.990000	5.817837E-6
48.996000	5.835878E-6
49.002000	5.823364E-6
49.008000	5.824037E-6
49.014000	5.795175E-6
49.020000	5.819187E-6
49.026000	5.848715E-6
49.032000	5.837909E-6
49.038000	5.878091E-6
49.044000	5.845292E-6
49.050000	5.912979E-6
49.056000	5.899825E-6
49.062000	5.901012E-6
49.068000	5.934211E-6
49.074000	5.957118E-6
49.080000	5.998620E-6
49.086000	5.999540E-6
49.092000	6.058590E-6
49.098000	6.046574E-6
49.104000	6.224123E-6
49.110000	6.204415E-6
49.116000	6.174368E-6
49.122000	6.163888E-6
49.128000	6.196437E-6
49.134000	6.217398E-6
49.140000	6.289285E-6
49.146000	6.328036E-6
49.152000	6.280974E-6
49.158000	6.364697E-6
49.164000	6.395191E-6
49.170000	6.270279E-6
