Voltage[V]	Current[mA]
48.000000	0.004631
48.006000	0.004644
48.012000	0.004646
48.018000	0.004651
48.024000	0.004657
48.030000	0.004666
48.036000	0.004673
48.042000	0.004679
48.048000	0.004685
48.054000	0.004690
48.060000	0.004695
48.066000	0.004702
48.072000	0.004706
48.078000	0.004712
48.084000	0.004715
48.090000	0.004722
48.096000	0.004727
48.102000	0.004730
48.108000	0.004738
48.114000	0.004740
48.120000	0.004746
48.126000	0.004751
48.132000	0.004752
48.138000	0.004759
48.144000	0.004762
48.150000	0.004766
48.156000	0.004772
48.162000	0.004775
48.168000	0.004781
48.174000	0.004784
48.180000	0.004790
48.186000	0.004796
48.192000	0.004797
48.198000	0.004802
48.204000	0.004804
48.210000	0.004810
48.216000	0.004816
48.222000	0.004818
48.228000	0.004824
48.234000	0.004825
48.240000	0.004830
48.246000	0.004836
48.252000	0.004837
48.258000	0.004843
48.264000	0.004845
48.270000	0.004854
48.276000	0.004857
48.282000	0.004861
48.288000	0.004865
48.294000	0.004867
48.300000	0.004871
48.306000	0.004877
48.312000	0.004879
48.318000	0.004884
48.324000	0.004887
48.330000	0.004891
48.336000	0.004894
48.342000	0.004895
48.348000	0.004900
48.354000	0.004902
48.360000	0.004907
48.366000	0.004913
48.372000	0.004915
48.378000	0.004918
48.384000	0.004921
48.390000	0.004927
48.396000	0.004931
48.402000	0.004934
48.408000	0.004938
48.414000	0.004941
48.420000	0.004945
48.426000	0.004949
48.432000	0.004952
48.438000	0.004957
48.444000	0.004956
48.450000	0.004962
48.456000	0.004968
48.462000	0.004968
48.468000	0.004973
48.474000	0.004974
48.480000	0.004978
48.486000	0.004984
48.492000	0.004985
48.498000	0.004990
48.504000	0.004993
48.510000	0.004997
48.516000	0.005002
48.522000	0.005003
48.528000	0.005009
48.534000	0.005010
48.540000	0.005014
48.546000	0.005020
48.552000	0.005021
48.558000	0.005027
48.564000	0.005028
48.570000	0.005031
48.576000	0.005036
48.582000	0.005036
48.588000	0.005042
48.594000	0.005046
48.600000	0.005047
48.606000	0.005054
48.612000	0.005055
48.618000	0.005059
48.624000	0.005060
48.630000	0.005065
48.636000	0.005070
48.642000	0.005071
48.648000	0.005074
48.654000	0.005076
48.660000	0.005082
48.666000	0.005087
48.672000	0.005088
48.678000	0.005092
48.684000	0.005093
48.690000	0.005096
48.696000	0.005101
48.702000	0.005103
48.708000	0.005107
48.714000	0.005108
48.720000	0.005113
48.726000	0.005117
48.732000	0.005119
48.738000	0.005122
48.744000	0.005123
48.750000	0.005128
48.756000	0.005132
48.762000	0.005133
48.768000	0.005138
48.774000	0.005138
48.780000	0.005143
48.786000	0.005148
48.792000	0.005148
48.798000	0.005154
48.804000	0.005155
48.810000	0.005158
48.816000	0.005163
48.822000	0.005164
48.828000	0.005167
48.834000	0.005169
48.840000	0.005173
48.846000	0.005177
48.852000	0.005177
48.858000	0.005184
48.864000	0.005181
48.870000	0.005187
48.876000	0.005192
48.882000	0.005193
48.888000	0.005196
48.894000	0.005197
48.900000	0.005202
