Voltage[V]	Current[mA]
49.470000	5.454079E-6
49.476000	5.461732E-6
49.482000	5.456920E-6
49.488000	5.457066E-6
49.494000	5.450964E-6
49.500000	5.444036E-6
49.506000	5.442090E-6
49.512000	5.442868E-6
49.518000	5.442229E-6
49.524000	5.451049E-6
49.530000	5.446732E-6
49.536000	5.455660E-6
49.542000	5.432444E-6
49.548000	5.445859E-6
49.554000	5.445353E-6
49.560000	5.452501E-6
49.566000	5.455503E-6
49.572000	5.459019E-6
49.578000	5.474103E-6
49.584000	5.485096E-6
49.590000	5.490512E-6
49.596000	5.497188E-6
49.602000	5.483396E-6
49.608000	5.486047E-6
49.614000	5.470939E-6
49.620000	5.487975E-6
49.626000	5.483403E-6
49.632000	5.483093E-6
49.638000	5.483637E-6
49.644000	5.490109E-6
49.650000	5.500197E-6
49.656000	5.496491E-6
49.662000	5.497885E-6
49.668000	5.492626E-6
49.674000	5.494463E-6
49.680000	5.492510E-6
49.686000	5.496685E-6
49.692000	5.499053E-6
49.698000	5.497919E-6
49.704000	5.494208E-6
49.710000	5.496669E-6
49.716000	5.498618E-6
49.722000	5.498394E-6
49.728000	5.502979E-6
49.734000	5.494225E-6
49.740000	5.498140E-6
49.746000	5.504429E-6
49.752000	5.496409E-6
49.758000	5.501518E-6
49.764000	5.506982E-6
49.770000	5.497367E-6
49.776000	5.487263E-6
49.782000	5.481115E-6
49.788000	5.488426E-6
49.794000	5.482376E-6
49.800000	5.489153E-6
49.806000	5.480047E-6
49.812000	5.476165E-6
49.818000	5.477697E-6
49.824000	5.474487E-6
49.830000	5.471138E-6
49.836000	5.476961E-6
49.842000	5.481255E-6
49.848000	5.472418E-6
49.854000	5.466579E-6
49.860000	5.472326E-6
49.866000	5.479271E-6
49.872000	5.482639E-6
49.878000	5.476908E-6
49.884000	5.485302E-6
49.890000	5.476946E-6
49.896000	5.477479E-6
49.902000	5.470292E-6
49.908000	5.471538E-6
49.914000	5.481290E-6
49.920000	5.478675E-6
49.926000	5.483873E-6
49.932000	5.477855E-6
49.938000	5.479125E-6
49.944000	5.474170E-6
49.950000	5.474643E-6
49.956000	5.477733E-6
49.962000	5.476305E-6
49.968000	5.482812E-6
49.974000	5.474713E-6
49.980000	5.472484E-6
49.986000	5.468126E-6
49.992000	5.466934E-6
49.998000	5.458127E-6
50.004000	5.465520E-6
50.010000	5.473508E-6
50.016000	5.470203E-6
50.022000	5.466796E-6
50.028000	5.466377E-6
50.034000	5.459595E-6
50.040000	5.466272E-6
50.046000	5.464988E-6
50.052000	5.468258E-6
50.058000	5.461358E-6
50.064000	5.455893E-6
50.070000	5.461174E-6
50.076000	5.465636E-6
50.082000	5.466181E-6
50.088000	5.466159E-6
50.094000	5.465596E-6
50.100000	5.474186E-6
50.106000	5.475287E-6
50.112000	5.476317E-6
50.118000	5.484580E-6
50.124000	5.479152E-6
50.130000	5.473807E-6
50.136000	5.475973E-6
50.142000	5.475278E-6
50.148000	5.475500E-6
50.154000	5.472126E-6
50.160000	5.472691E-6
50.166000	5.476622E-6
50.172000	5.474419E-6
50.178000	5.471739E-6
50.184000	5.467241E-6
50.190000	5.467925E-6
50.196000	5.476899E-6
50.202000	5.476100E-6
50.208000	5.471750E-6
50.214000	5.472792E-6
50.220000	5.471580E-6
50.226000	5.473624E-6
50.232000	5.476109E-6
50.238000	5.469553E-6
50.244000	5.465381E-6
50.250000	5.471291E-6
50.256000	5.475545E-6
50.262000	5.471787E-6
50.268000	5.460486E-6
50.274000	5.465890E-6
50.280000	5.476751E-6
50.286000	5.473291E-6
50.292000	5.489682E-6
50.298000	5.489231E-6
50.304000	5.535027E-6
50.310000	5.577820E-6
50.316000	5.578314E-6
50.322000	5.559645E-6
50.328000	5.555205E-6
50.334000	5.537383E-6
50.340000	5.531355E-6
50.346000	5.544077E-6
50.352000	5.566987E-6
50.358000	5.561031E-6
50.364000	5.553386E-6
50.370000	5.549202E-6
50.376000	5.550877E-6
50.382000	5.544918E-6
50.388000	5.551175E-6
50.394000	5.549285E-6
50.400000	5.566416E-6
50.406000	5.740102E-6
50.412000	5.671593E-6
50.418000	5.645723E-6
50.424000	5.619885E-6
50.430000	5.586337E-6
50.436000	5.597065E-6
50.442000	5.741093E-6
50.448000	5.719273E-6
50.454000	5.753502E-6
50.460000	5.721838E-6
50.466000	5.685180E-6
50.472000	5.660796E-6
50.478000	5.643370E-6
50.484000	5.633634E-6
50.490000	5.628292E-6
50.496000	5.620619E-6
50.502000	5.612326E-6
50.508000	5.615237E-6
50.514000	5.605148E-6
50.520000	5.603870E-6
50.526000	5.599984E-6
50.532000	5.598138E-6
50.538000	5.597916E-6
50.544000	5.587564E-6
50.550000	5.589179E-6
50.556000	5.590011E-6
50.562000	5.585616E-6
50.568000	5.585026E-6
50.574000	5.584291E-6
50.580000	5.580038E-6
50.586000	5.584445E-6
50.592000	5.585882E-6
50.598000	5.581696E-6
50.604000	5.583612E-6
50.610000	5.586583E-6
50.616000	5.594857E-6
50.622000	5.604497E-6
50.628000	5.596868E-6
50.634000	5.586875E-6
50.640000	5.592679E-6
50.646000	5.597347E-6
50.652000	5.596724E-6
50.658000	5.590754E-6
50.664000	5.592269E-6
50.670000	5.585368E-6
50.676000	5.581451E-6
50.682000	5.579568E-6
50.688000	5.588878E-6
50.694000	5.581803E-6
50.700000	5.585752E-6
50.706000	5.588325E-6
50.712000	5.587866E-6
50.718000	5.604620E-6
50.724000	5.598845E-6
50.730000	5.606949E-6
50.736000	5.602241E-6
50.742000	5.601728E-6
50.748000	5.603413E-6
50.754000	5.601825E-6
50.760000	5.602497E-6
50.766000	5.606559E-6
50.772000	5.605396E-6
50.778000	5.607111E-6
50.784000	5.603032E-6
50.790000	5.606406E-6
50.796000	5.608716E-6
50.802000	5.611254E-6
50.808000	5.614769E-6
50.814000	5.609017E-6
50.820000	5.615763E-6
50.826000	5.620779E-6
50.832000	5.617997E-6
50.838000	5.629201E-6
50.844000	5.621464E-6
50.850000	5.623608E-6
50.856000	5.633987E-6
50.862000	5.630583E-6
50.868000	5.638543E-6
50.874000	5.634203E-6
50.880000	5.634554E-6
50.886000	5.640914E-6
50.892000	5.639492E-6
50.898000	5.654098E-6
50.904000	5.771692E-6
50.910000	5.759565E-6
50.916000	5.741002E-6
50.922000	5.735903E-6
50.928000	5.735370E-6
50.934000	5.728272E-6
50.940000	5.731525E-6
50.946000	5.724771E-6
50.952000	5.730410E-6
50.958000	5.735057E-6
50.964000	5.729281E-6
50.970000	5.730657E-6
50.976000	5.740220E-6
50.982000	5.736266E-6
50.988000	5.746208E-6
50.994000	5.740455E-6
51.000000	5.749706E-6
51.006000	5.770606E-6
51.012000	5.763199E-6
51.018000	5.773554E-6
51.024000	5.765103E-6
51.030000	5.766869E-6
51.036000	5.782693E-6
51.042000	5.787556E-6
51.048000	5.793447E-6
51.054000	5.781751E-6
51.060000	5.807793E-6
51.066000	5.821486E-6
51.072000	5.816460E-6
51.078000	5.834288E-6
51.084000	5.861096E-6
51.090000	6.161242E-6
51.096000	6.093875E-6
51.102000	6.113507E-6
51.108000	6.054986E-6
51.114000	6.029502E-6
51.120000	6.032136E-6
51.126000	6.042301E-6
51.132000	6.046736E-6
51.138000	6.057223E-6
51.144000	6.054335E-6
51.150000	6.086234E-6
51.156000	6.112019E-6
51.162000	6.110042E-6
51.168000	6.137895E-6
51.174000	6.135966E-6
51.180000	6.169767E-6
51.186000	6.198686E-6
51.192000	6.193877E-6
51.198000	6.224486E-6
51.204000	6.233090E-6
51.210000	6.270333E-6
51.216000	6.335032E-6
51.222000	6.338763E-6
51.228000	6.388431E-6
51.234000	6.384849E-6
51.240000	6.444854E-6
51.246000	6.525646E-6
51.252000	6.531270E-6
51.258000	6.624929E-6
51.264000	6.625557E-6
51.270000	6.731508E-6
51.276000	6.853894E-6
51.282000	6.839735E-6
51.288000	6.972390E-6
51.294000	6.976556E-6
51.300000	7.150472E-6
51.306000	7.362871E-6
51.312000	7.352401E-6
51.318000	7.592743E-6
51.324000	7.614782E-6
51.330000	7.934227E-6
51.336000	8.275583E-6
51.342000	8.230791E-6
51.348000	8.670835E-6
51.354000	8.655241E-6
51.360000	9.125806E-6
51.366000	9.660660E-6
51.372000	9.681460E-6
51.378000	1.036300E-5
51.384000	1.038581E-5
51.390000	1.123257E-5
51.396000	1.213927E-5
51.402000	1.212319E-5
51.408000	1.313593E-5
51.414000	1.326476E-5
51.420000	1.450515E-5
51.426000	1.599189E-5
